    3.0000    13.0000    16.0000     1.8460     1.6430     1.2230 66790276.0000 
   70.0000    90.0000    12.0000    -1.9420    -0.5160    -1.3070 167972226.0000 
   48.0000    35.0000    15.0000     1.7470    -0.3150     1.6570 102007980.0000 
   49.0000    91.0000    62.0000    -1.7870     1.2980     0.0690 334651482.0000 
   82.0000    68.0000    99.0000     1.7770    -1.9570    -1.2580 346689504.0000 
   32.0000    73.0000    71.0000    -0.5840    -1.5340     0.6440 314771670.0000 
   79.0000    35.0000    14.0000    -0.3840    -1.7550    -0.0580 151083876.0000 
   33.0000     0.0000    59.0000     0.2310    -1.7310     1.3100 645305444.0000 
   78.0000    31.0000    32.0000    -1.8270    -1.8750    -0.9590 1004147344.0000 
   14.0000    10.0000    25.0000    -0.3680     0.8540    -1.1020 594940580.0000 
   33.0000    61.0000     1.0000    -0.6220    -0.7450     0.8390 34600378.0000 
   92.0000    83.0000    20.0000     0.0130    -1.8060     1.3040 58086364.0000 
   88.0000     1.0000    98.0000     0.8130    -1.3060     0.8370 54570927.0000 
   47.0000     0.0000    41.0000     0.2540     0.6500    -0.2600 1440157266.0000 
   53.0000    93.0000    14.0000     0.3080    -1.0160    -1.4610 898294283.0000 
   74.0000    68.0000    94.0000    -0.0320    -1.4270     1.8630 736967340.0000 
   16.0000    95.0000    78.0000    -1.7890     0.3320     0.3530 79532336.0000 
   54.0000    12.0000    85.0000     0.7560     1.3040    -0.6230 777461196.0000 
   22.0000     7.0000    65.0000    -1.1420    -0.7020    -0.8380 821337827.0000 
   30.0000    81.0000    93.0000     1.3550    -1.1040    -1.9620 772879171.0000 
   85.0000    47.0000    23.0000     0.2170    -1.5480     0.6950 11954020.0000 
    7.0000    86.0000    15.0000     1.2120     0.0150     0.2070 59153888.0000 
   14.0000    87.0000    95.0000    -1.7360     1.7490     0.3340 146657790.0000 
   15.0000    30.0000    39.0000     1.9110    -0.8800    -0.7930 1484183210.0000 
    6.0000    99.0000    74.0000     1.7590     1.9940     1.8740 15215252.0000 
   12.0000    84.0000    66.0000     0.5270     0.1920     1.3870 645740640.0000 
